Bastiladon,120 x 92 mm
Chameleon Skinks,25 mm
Dread Saurian,280 x 210 mm
Engine of the Gods,120 x 92 mm
Kroxigor,50 mm
Lord Kroak,50 mm
Razordons,60 x 35 mm
Ripperdactyl Riders,50 mm
Salamanders,60 x 35 mm
Saurus Astrolith Bearer,40 mm
Saurus Eternity Warden,40 mm
Saurus Guard,32 mm
Saurus Knights,60 x 35 mm
Saurus Oldblood,32 mm
Saurus Oldblood on Carnosaur,120 x 92 mm
Saurus Scar-Veteran on Carnosaur,120 x 92 mm
Saurus Scar-Veteran on Cold One,60 x 35 mm
Saurus Sunblood,32 mm
Saurus Warriors,32 mm
Skink Handlers,25 mm
Skink Priest,25 mm
Skink Starpriest,25 mm
Skink Starseer,50 mm
Skinks,25 mm
Slann Starmaster,50 mm
Stegadon,120 x 92 mm
Terradon Riders,50 mm
Troglodon,120 x 92 mm
